order_purchase_timestamp,payment_value
2016-09-04,136.23
2016-09-05,75.06
2016-09-13,40.95
2016-10-02,109.34
2016-10-03,74.3925
2016-10-04,170.2092857142857
2016-10-05,200.23960784313724
2016-10-06,184.28647058823532
2016-10-07,175.64234042553193
2016-10-08,225.95651162790696
2016-10-09,148.28964285714284
2016-10-10,111.31190476190477
2016-10-22,61.99
2016-12-23,19.62
2017-01-05,22.1021875
2017-01-06,123.535
2017-01-07,361.9975
2017-01-08,134.93833333333333
2017-01-09,154.902
2017-01-10,261.8616666666667
2017-01-11,255.19416666666666
2017-01-12,192.51461538461538
2017-01-13,241.99750000000003
2017-01-14,83.74222222222221
2017-01-15,182.23857142857145
2017-01-16,195.38105263157897
2017-01-17,84.64369565217392
2017-01-18,133.81085714285715
2017-01-19,149.0825925925926
2017-01-20,156.60233333333332
2017-01-21,128.94833333333335
2017-01-22,138.07161290322583
2017-01-23,179.85452380952378
2017-01-24,165.71951219512195
2017-01-25,158.09560606060606
2017-01-26,168.79955555555554
2017-01-27,201.62703125
2017-01-28,147.74949999999998
2017-01-29,204.5902857142857
2017-01-30,221.5981818181818
2017-01-31,178.3798630136986
2017-02-01,133.90896103896102
2017-02-02,154.73246376811596
2017-02-03,184.74904761904762
2017-02-04,221.79112676056337
2017-02-05,133.59526315789472
2017-02-06,135.1860465116279
2017-02-07,134.09040322580645
2017-02-08,142.9997
2017-02-09,123.22920454545455
2017-02-10,230.50132352941176
2017-02-11,115.27285714285713
2017-02-12,245.32779411764707
2017-02-13,163.651125
2017-02-14,191.3635
2017-02-15,128.09846153846152
2017-02-16,136.9073684210526
2017-02-17,167.0954347826087
2017-02-18,164.0661224489796
2017-02-19,95.87155555555556
2017-02-20,143.0828125
2017-02-21,217.05720930232556
2017-02-22,138.13779411764705
2017-02-23,140.52229508196723
2017-02-24,99.787625
2017-02-25,109.0676595744681
2017-02-26,140.0744680851064
2017-02-27,142.43270833333335
2017-02-28,228.7730909090909
2017-03-01,180.2206666666667
2017-03-02,177.65351351351353
2017-03-03,188.72946666666667
2017-03-04,178.54816091954024
2017-03-05,105.89325301204819
2017-03-06,123.99192660550459
2017-03-07,163.00435294117645
2017-03-08,204.5080487804878
2017-03-09,130.45594339622642
2017-03-10,154.45659574468084
2017-03-11,147.1055294117647
2017-03-12,118.98757575757577
2017-03-13,163.61067796610172
2017-03-14,157.55219047619048
2017-03-15,138.91928
2017-03-16,161.6866019417476
2017-03-17,200.16588235294117
2017-03-18,230.03935897435898
2017-03-19,135.58035087719298
2017-03-20,166.79108333333335
2017-03-21,146.44617647058823
2017-03-22,147.6589189189189
2017-03-23,192.54932773109243
2017-03-24,167.336375
2017-03-25,140.64675
2017-03-26,109.17171428571429
2017-03-27,178.68947826086958
2017-03-28,137.39425925925926
2017-03-29,137.96094594594595
2017-03-30,139.4512195121951
2017-03-31,193.70816901408452
2017-04-01,293.924
2017-04-02,158.33761194029853
2017-04-03,133.04814814814813
2017-04-04,136.0864423076923
2017-04-05,203.6720588235294
2017-04-06,268.6358
2017-04-07,167.15244444444443
2017-04-08,131.9325641025641
2017-04-09,132.73164383561644
2017-04-10,155.0816091954023
2017-04-11,110.98977528089888
2017-04-12,146.9990625
2017-04-13,183.87065573770494
2017-04-14,194.73888888888888
2017-04-15,173.91777777777776
2017-04-16,130.6442
2017-04-17,158.31720588235294
2017-04-18,292.92325
2017-04-19,138.03217821782178
2017-04-20,118.93333333333334
2017-04-21,125.4641975308642
2017-04-22,166.7228888888889
2017-04-23,131.55455555555557
2017-04-24,139.4611811023622
2017-04-25,152.00309734513274
2017-04-26,143.81607692307693
2017-04-27,148.275
2017-04-28,175.37174757281554
2017-04-29,182.04315789473685
2017-04-30,136.768115942029
2017-05-01,116.169296875
2017-05-02,152.0079411764706
2017-05-03,110.83945454545454
2017-05-04,145.8873394495413
2017-05-05,137.06264462809915
2017-05-06,170.15530973451328
2017-05-07,177.9824347826087
2017-05-08,149.9584375
2017-05-09,179.59296296296296
2017-05-10,195.15333333333334
2017-05-11,158.23910447761196
2017-05-12,110.97434782608697
2017-05-13,136.8675641025641
2017-05-14,151.30887931034485
2017-05-15,123.07308988764044
2017-05-16,148.70042424242425
2017-05-17,135.4198101265823
2017-05-18,162.982734375
2017-05-19,137.98134615384615
2017-05-20,162.68644736842106
2017-05-21,134.8909271523179
2017-05-22,185.29871794871795
2017-05-23,158.63438461538462
2017-05-24,183.61870748299322
2017-05-25,155.7834188034188
2017-05-26,152.77734939759037
2017-05-27,189.92488372093024
2017-05-28,107.96805825242717
2017-05-29,123.47272222222222
2017-05-30,147.19275862068966
2017-05-31,182.29833333333335
2017-06-01,160.15720588235294
2017-06-02,157.74913043478261
2017-06-03,131.88645161290324
2017-06-04,149.80831775700935
2017-06-05,172.33044025157233
2017-06-06,128.86095588235295
2017-06-07,96.82301204819278
2017-06-08,149.36675675675676
2017-06-09,170.3502727272727
2017-06-10,123.65125
2017-06-11,149.98868217054263
2017-06-12,132.74198473282442
2017-06-13,126.08126865671642
2017-06-14,178.48121212121214
2017-06-15,134.86839285714285
2017-06-16,140.73990476190477
2017-06-17,151.97860465116278
2017-06-18,214.4966304347826
2017-06-19,159.1008588957055
2017-06-20,151.1321649484536
2017-06-21,202.0861111111111
2017-06-22,120.55727272727272
2017-06-23,145.3564814814815
2017-06-24,130.04805194805195
2017-06-25,190.2233027522936
2017-06-26,205.40972972972972
2017-06-27,134.7954109589041
2017-06-28,137.74903225806452
2017-06-29,121.44272727272727
2017-06-30,164.00747474747473
2017-07-01,168.32142857142858
2017-07-02,115.72206611570249
2017-07-03,158.4277049180328
2017-07-04,138.22595419847326
2017-07-05,151.31644171779143
2017-07-06,157.13650887573965
2017-07-07,121.72810218978103
2017-07-08,134.84662921348314
2017-07-09,109.19530612244897
2017-07-10,141.5191780821918
2017-07-11,141.84448863636365
2017-07-12,142.13
2017-07-13,107.70508982035928
2017-07-14,143.63986842105263
2017-07-15,131.2805
2017-07-16,139.22612068965518
2017-07-17,149.99732558139536
